"feature_id","gene_id","transcript_id","mean_norm_WT","mean_norm_mutant","a.value","m.value_TCC_raw","log2FC_mut_vs_WT","p.value","q.value","rank","estimatedDEG","direction","abs_log2FC_gt1"
"Os02g0744682","Os02g0744682","Os02t0744682-00",0.047307344222482,0.0430557344597485,-4.46972140454846,-0.135858773457575,-0.135858773457575,0.89468303558425,0.992020522629238,40293,0,"NS",FALSE
"Os02g0744700","Os02g0744700","Os02t0744700-01",7.84980043726487,11.3885710900029,3.24108540872771,0.536858862778862,0.536858862778862,0.0878520840332778,0.234423331122696,16782,0,"NS",FALSE
"Os02g0744700.1","Os02g0744700","Os02t0744700-02",1.43579907291186,2.94778580760809,1.0407427850591,1.03777782777886,1.03777782777886,0.0597885386280268,0.180209519171611,14878,0,"NS",TRUE
"Os02g0744800","Os02g0744800","Os02t0744800-01",0.976086909730281,1.57660353299726,0.310950713606482,0.691738397938666,0.691738397938666,0.121037851008991,0.288959827014863,18784,0,"NS",FALSE
"Os02g0744700.2","Os02g0744700","Os02t0744700-03",1.26425130332782,1.28426082896791,0.34961075219215,0.0226549728782756,0.0226549728782756,0.749320187341404,0.905355580447566,37115,0,"NS",FALSE
"Os02g0744851","Os02g0744851","Os02t0744851-00",0,0,-6.47842536124147,-1.1895279891416,-1.1895279891416,1,1,43851.5,0,"NS",TRUE
"Os02g0744900","Os02g0744900","Os02t0744900-01",129.719425533194,186.954159808669,7.28289574578566,0.527290032227159,0.527290032227159,0.0599404830787608,0.180513387498289,14889,0,"NS",FALSE
"Os02g0745000","Os02g0745000","Os02t0745000-01",120.007021316336,108.71960542325,6.83572166082225,-0.142506691604597,-0.142506691604597,0.0805030246574315,0.220344059613498,16383,0,"NS",FALSE
"Os02g0745100","Os02g0745100","Os02t0745100-01",1.11901486219091,0.518151919992923,-0.393161872582322,-1.11078214034327,-1.11078214034327,0.0275082861311741,0.105497441483483,11693,0,"NS",TRUE
"Os02g0745200","Os02g0745200","Os02t0745200-01",18.9526374638697,15.1343780341947,4.08204210288849,-0.324569241874984,-0.324569241874984,0.0732114013248238,0.20860923122445,15738,0,"NS",FALSE
"Os02g0745250","Os02g0745250","Os02t0745250-00",0.238511554743747,0.099054104192835,-2.70175418615172,-1.26777050172156,-1.26777050172156,0.957421513489608,1,41809,0,"NS",TRUE
"Os02g0745200.1","Os02g0745200","Os02t0745200-02",0.578834873474264,0.79714911997517,-0.557927358350218,0.461697785959882,0.461697785959882,0.222705480511419,0.432075995849012,23114,0,"NS",FALSE
"Os02g0745300","Os02g0745300","Os02t0745300-00",0,0.188831117522446,-6.47842536124147,2.47882979811517,2.47882979811517,0.0139970156476024,0.0640251713621233,9767,0,"NS",TRUE
"Os02g0745400","Os02g0745400","Os02t0745400-01",9.08013045534222,9.10587569871337,3.18475539539059,0.00408474069962139,0.00408474069962139,0.826537942000238,0.956942851600926,38733,0,"NS",FALSE
"Os02g0745400.1","Os02g0745400","Os02t0745400-02",1.03428746984664,0.97198180528677,0.00381921857091023,-0.0896360109174555,-0.0896360109174555,0.972528938769047,1,42187,0,"NS",FALSE
