"feature_id","gene_id","transcript_id","mean_norm_WT","mean_norm_mutant","a.value","m.value_TCC_raw","log2FC_mut_vs_WT","p.value","q.value","rank","estimatedDEG","direction","abs_log2FC_gt1"
"Os02g0578400","Os02g0578400","Os02t0578400-01",28.529312498049,22.6666869671081,4.66843735432391,0.331871443412995,-0.331871443412995,0.324810905068083,0.556925144409004,26154,0,"NS",FALSE
"Os02g0578500","Os02g0578500","Os02t0578500-00",0.29285734207181,0.846084841598722,-1.00642789411581,-1.53060427365005,1.53060427365005,0.076503441577698,0.228435975576314,15012,0,"NS",TRUE
"Os02g0578800","Os02g0578800","Os02t0578800-01",2059.5551997795,562.529959399503,10.0719516009337,1.87233095454354,-1.87233095454354,1.27619304362675e-06,0.000106374722766539,538,1,"down",TRUE
"Os02g0579000","Os02g0579000","Os02t0579000-02",9.55812773777972,1.90945370907168,2.09494399671667,2.32356810323989,-2.32356810323989,0.000822111991668568,0.00953862617189787,3865,1,"down",TRUE
"Os02g0579000.1","Os02g0579000","Os02t0579000-01",7.07290949600433,3.89529004943444,2.39201727926134,0.860573043257657,-0.860573043257657,0.112294500397379,0.286599476467521,17570,0,"NS",FALSE
"Os02g0579150","Os02g0579150","Os02t0579150-00",0,0,-6.35313872224295,1.99300453528808,-1.99300453528808,1,1,43709,0,"NS",TRUE
"Os02g0579300","Os02g0579300","Os02t0579300-00",6.60739310151316,9.9982073272257,3.02287531146742,-0.597588264446519,0.597588264446519,0.215904539880482,0.442525698619579,21878,0,"NS",FALSE
"Os02g0579600","Os02g0579600","Os02t0579600-01",3.22677298195551,1.31967114196564,1.04513527022125,1.28991362213135,-1.28991362213135,0.0869005694089283,0.246258183685454,15618,0,"NS",TRUE
"Os02g0579800","Os02g0579800","Os02t0579800-01",38.3991337817778,32.849137488998,5.1503927234822,0.225218276014185,-0.225218276014185,0.531518463468734,0.754380743631849,31596,0,"NS",FALSE
"Os02g0580000","Os02g0580000","Os02t0580000-02",10.7681321009489,10.6670759344152,3.42189448073689,0.0136032559365917,-0.0136032559365917,0.953712636410916,1,41322,0,"NS",FALSE
"Os02g0580000.1","Os02g0580000","Os02t0580000-01",9.37076144134602,9.25670660978013,3.21933263928159,0.0176672852998796,-0.0176672852998796,0.996909638382709,1,42498,0,"NS",FALSE
"Os02g0580100","Os02g0580100","Os02t0580100-01",170.281476524035,96.2225176728361,7.00004016892999,0.823475051706105,-0.823475051706105,8.72297441096744e-05,0.00186361631484242,2099,1,"down",FALSE
"Os02g0580300","Os02g0580300","Os02t0580300-01",211.008528623181,273.87739047946,7.90927193129012,-0.376228860012247,0.376228860012247,0.00172091538863677,0.0163155876718874,4730,1,"up",FALSE
"Os02g0580300.1","Os02g0580300","Os02t0580300-02",223.393081430829,281.078030759058,7.96913379069566,-0.331386190450038,0.331386190450038,0.00419397373158347,0.0311021263468049,6047,1,"up",FALSE
"Os02g0580300.2","Os02g0580300","Os02t0580300-04",0.0598447248445275,0.0367865326626945,-4.41365529797486,0.702046382381931,-0.702046382381931,0.272150071442451,0.496109802582783,24532.5,0,"NS",FALSE
"Os02g0580366","Os02g0580366","Os02t0580366-00",1.66099118908784,1.73982545728617,0.765493499856193,-0.0668981589432349,0.0668981589432349,0.974278165247521,1,41971,0,"NS",FALSE
"Os02g0580300.3","Os02g0580300","Os02t0580300-03",186.341631953024,243.601322535655,7.73509218936925,-0.386571932409875,0.386571932409875,0.00383062764693901,0.0291548992191672,5892,1,"up",FALSE
"Os02g0580400","Os02g0580400","Os02t0580400-01",24.0080523700374,34.1605517349616,4.8398529186508,-0.508812905367972,0.508812905367972,0.152684059057773,0.352645444189678,19416,0,"NS",FALSE
"Os02g0580500","Os02g0580500","Os02t0580500-01",239.178440924779,178.066465774048,7.6891077904334,0.425671506076979,-0.425671506076979,0.0260642049633351,0.110145298641101,10611,0,"NS",FALSE
"Os02g0580600","Os02g0580600","Os02t0580600-01",7.00243452254209,7.43040717215577,2.85064892903319,-0.0855846816725947,0.0855846816725947,0.873719459525722,0.995378285267167,39363,0,"NS",FALSE
"Os02g0580700","Os02g0580700","Os02t0580700-01",137.284795549202,110.30667979231,6.94320219597063,0.315651695964869,-0.315651695964869,0.0187273491123193,0.0880395474989881,9539,0,"NS",FALSE
"Os02g0580800","Os02g0580800","Os02t0580800-02",109.701062202384,102.605127408938,6.72919635100097,0.0964746675291384,-0.0964746675291384,0.427549842810305,0.663404212691094,28901,0,"NS",FALSE
"Os02g0580800.1","Os02g0580800","Os02t0580800-03",22.9342776168976,18.1236370834755,4.34961708148824,0.339632959149876,-0.339632959149876,0.0718753051899825,0.219233858382504,14702,0,"NS",FALSE
"Os02g0580800.2","Os02g0580800","Os02t0580800-01",74.4129231837663,65.7208702229345,6.12788048351581,0.179201610411907,-0.179201610411907,0.260191224832583,0.48307783530121,24153,0,"NS",FALSE
"Os02g0580900","Os02g0580900","Os02t0580900-01",0.166890659262583,0.783399473091719,-1.46760241068225,-2.23084494747724,2.23084494747724,0.0418170636130597,0.151875947011447,12346,0,"NS",TRUE
"Os02g0580900.1","Os02g0580900","Os02t0580900-02",0.239117558493149,0.648912629214536,-1.34405593699719,-1.44030417261212,1.44030417261212,0.261106127671469,0.48372486245395,24192,0,"NS",TRUE
"Os02g0580966","Os02g0580966","Os02t0580966-00",0,0,-6.35313872224295,1.99300453528808,-1.99300453528808,1,1,43709,0,"NS",TRUE
